custID,satCleanRoom,satCleanBath,satCleanCommon,satRoomPrice,satDiningPrice,satWifiPrice,satParkingPrice,satPerks,satCity,satCloseTransp,satCloseEvents,satPoints,satRecognition,satFrontStaff,satDiningStaff,satHouseStaff,satValetStaff,satOverall,distanceTraveled,nightsStayed,visitPurpose,avgRoomSpendPerNight,avgFoodSpendPerNight,avgWifiSpendPerNight,eliteSegment
ID_16,4,4,6,5,4,5,5,4,5,5,4,5,4,4,4,4,3,3,86,4,Concert,149,26.02,7.49,Gold
ID_17,6,5,4,4,5,6,6,5,6,7,5,5,3,6,4,6,3,6,151,5,Business,147,12.38,5.17,Silver
ID_18,5,6,4,4,3,3,4,7,4,4,4,5,6,5,4,3,4,5,1272,5,Business,145,5,6.96,Gold
ID_19,4,4,4,4,2,4,4,3,3,4,5,4,4,4,5,5,3,4,581,1,SportsEvent,149,10,12.95,NoStatus
ID_20,5,6,3,4,4,5,5,4,4,5,3,4,5,4,3,4,4,3,965,2,OtherOrMixed,164,10,5,NoStatus
ID_21,4,2,4,3,4,5,5,5,3,4,3,5,4,3,3,4,2,3,996,5,Business,149,5,8.15,Gold
ID_22,3,5,6,4,3,4,4,2,4,4,4,3,4,5,4,3,5,4,246,15,OtherOrMixed,149,5.36,3.25,NoStatus
ID_23,5,5,4,4,4,7,4,5,5,5,3,4,4,4,3,4,4,4,288,2,Business,169,19.52,6.45,Silver
ID_24,3,4,3,5,3,4,2,5,1,3,4,3,3,4,3,5,6,4,1597,61,Vacation,157.69,6.52,10.75,Silver
ID_25,2,4,1,4,4,2,4,5,4,3,4,5,4,4,4,5,4,4,528,1,Business,129,5,12.95,Silver
ID_26,3,4,5,4,4,3,5,4,3,4,3,4,3,3,3,1,4,4,1185,8,Vacation,150.25,23.06,4.84,NoStatus
ID_27,4,3,3,5,3,3,5,6,3,4,3,4,5,3,2,5,2,3,658,2,OtherOrMixed,159,0,8.98,NoStatus
ID_28,4,4,6,5,4,3,5,4,6,5,5,4,5,5,2,3,3,4,56,6,SportsEvent,147.33,5,11.3,Silver
ID_29,4,4,4,4,5,3,4,5,6,6,6,5,5,6,5,6,5,4,118,1,OtherOrMixed,149,10,7.95,NoStatus
ID_30,4,4,4,4,4,4,6,4,4,5,4,3,3,3,3,4,3,5,649,12,Conference,152.33,10.85,9.47,Gold
ID_31,5,6,4,4,4,5,5,5,5,5,5,5,4,5,5,4,3,5,168,2,SportsEvent,149,26.56,3.98,Silver
ID_32,5,4,3,5,3,3,5,4,4,3,5,3,4,3,3,5,3,4,48,2,SportsEvent,159,5,13.95,NoStatus
ID_33,5,5,4,4,3,5,4,6,5,5,5,6,6,6,5,4,5,7,279,6,Business,155.67,44.82,2.48,Platinum
ID_34,5,5,4,2,5,3,6,6,7,3,6,5,5,6,4,6,4,5,717,1,Conference,149,38.08,7.95,Silver
ID_35,4,4,3,3,3,3,3,3,1,3,2,2,3,1,3,4,3,3,290,2,SportsEvent,159,26.33,6.45,NoStatus
ID_36,4,3,4,3,4,3,4,4,4,5,5,4,4,4,4,4,4,5,425,2,Vacation,144,10,0,Silver
ID_37,3,4,2,6,5,4,4,5,4,7,3,5,5,4,4,4,2,3,224,7,Concert,164.71,24.55,7.84,Gold
ID_38,5,5,3,4,6,4,7,6,5,4,3,5,5,5,5,4,3,5,172,5,SportsEvent,137,25.63,5.57,NoStatus
ID_39,7,6,5,3,5,3,5,5,6,4,5,5,4,4,3,3,4,5,228,2,Conference,139,15,13.95,NoStatus
ID_40,4,5,3,1,4,4,4,4,5,5,4,3,2,4,3,4,4,6,498,6,Vacation,157.33,10,6.79,Silver
ID_41,5,4,4,4,5,6,5,7,6,5,5,7,7,5,5,3,5,7,173,1,Business,149,5,7.95,Platinum
ID_42,2,3,4,3,4,4,4,4,3,4,3,5,4,4,3,4,4,4,2721,2,Conference,159,5,3.98,NoStatus
ID_43,7,5,5,5,6,6,7,6,7,6,6,5,6,7,6,5,2,6,454,3,Business,135.67,40.09,5.97,Platinum
ID_44,7,4,4,3,2,4,4,3,4,5,5,4,4,3,3,5,4,3,121,1,SportsEvent,139,5,0,Gold
ID_45,2,3,3,3,3,4,4,3,5,4,5,2,3,2,2,2,3,3,653,5,Concert,155,21.96,7.75,Silver
ID_46,3,4,2,5,3,5,5,4,5,5,4,5,4,4,4,5,1,5,395,4,Concert,156.5,5,5,NoStatus
ID_47,4,3,3,4,5,5,4,4,3,2,6,4,3,3,3,4,2,4,801,3,Vacation,169,32.61,4.3,Silver
ID_48,4,3,3,4,5,6,4,4,3,4,3,3,2,4,4,3,5,4,356,3,SportsEvent,142.33,10,10.3,Silver
ID_49,4,3,4,4,2,4,3,4,4,3,4,3,3,4,5,5,5,2,2257,7,SportsEvent,141.86,66.49,12.24,Silver
ID_50,3,5,4,5,4,5,5,4,2,2,3,5,4,3,3,5,2,2,410,9,Vacation,160.11,40.85,10.3,Silver
ID_51,5,5,4,4,5,5,4,5,3,3,4,6,4,3,4,3,2,6,309,6,Conference,147.33,17.09,10.97,Platinum
ID_52,5,4,4,4,3,4,4,3,3,4,4,4,4,3,3,4,4,4,492,1,OtherOrMixed,149,10,14.95,Silver
ID_53,3,3,5,3,4,4,6,5,3,6,4,4,2,5,2,5,3,4,2192,3,Business,152.33,5,8.32,Gold
ID_54,6,6,5,4,4,6,4,6,5,6,3,7,6,4,4,4,3,5,593,4,Business,141.5,18.34,3.23,Platinum
ID_55,3,3,4,3,5,4,5,5,4,3,3,4,3,4,3,3,3,3,423,6,SportsEvent,147.33,35.73,3.48,Silver
ID_56,5,4,3,4,4,4,6,5,6,7,5,4,5,5,3,4,2,4,259,2,Business,139,22.27,13.95,Platinum
ID_57,6,5,5,6,4,4,5,5,5,4,6,5,5,5,4,6,3,5,485,6,Business,147.33,15.51,2.98,Silver
ID_58,2,3,2,4,3,4,2,5,3,3,3,5,4,4,2,4,4,4,1081,2,Conference,159,5,4.98,NoStatus
ID_59,4,3,4,4,3,3,3,2,3,1,4,3,1,2,5,4,5,2,513,2,SportsEvent,174,33,8.98,NoStatus
ID_60,3,5,3,4,2,5,5,3,3,4,3,2,2,4,4,5,5,3,318,2,OtherOrMixed,159,17.45,6.45,NoStatus
ID_61,7,6,4,4,3,5,6,4,2,4,3,3,4,4,3,4,4,3,881,4,Vacation,149,29.56,14.45,NoStatus
ID_62,3,4,3,3,4,3,4,5,3,4,4,4,4,4,5,4,3,4,1021,3,Vacation,152.33,5,6.95,Silver
ID_63,4,5,4,3,5,2,3,3,5,4,3,3,4,4,3,4,4,4,609,3,Vacation,159,19.78,5.97,NoStatus
ID_64,2,4,3,3,4,2,4,4,5,2,5,4,3,3,4,4,4,4,705,9,Vacation,155.67,17.45,5.63,NoStatus
ID_65,5,5,5,4,4,3,3,4,5,5,4,4,5,3,3,3,5,4,1328,3,Concert,162.33,5,6.63,Gold
ID_66,5,6,3,4,4,6,4,5,5,6,5,3,4,4,4,5,3,5,632,4,Business,181.5,23.13,8.98,NoStatus
ID_67,5,5,5,4,5,2,5,5,6,5,5,4,4,4,5,4,3,5,630,2,Vacation,129,5,4.98,Gold
ID_68,6,5,4,3,5,3,6,5,6,6,5,4,4,4,4,4,2,4,649,3,OtherOrMixed,142.33,10,4.3,NoStatus
ID_69,2,3,3,2,4,5,5,3,2,1,3,4,5,2,1,4,3,3,420,1,Concert,169,15,4.95,Gold
ID_70,4,3,4,4,4,4,4,4,3,4,5,3,4,3,4,3,3,3,957,2,Vacation,159,60.58,8.98,Silver
ID_71,4,3,4,3,4,2,3,5,3,5,3,4,4,4,3,7,5,4,220,1,Business,129,5,4.95,Gold
ID_72,5,6,5,4,4,5,4,5,4,6,5,4,2,5,4,4,5,4,754,4,Conference,139,18.74,6.99,Gold
ID_73,3,4,2,4,3,3,4,2,4,4,4,2,3,2,2,3,4,3,1525,1,SportsEvent,139,10,12.95,NoStatus
ID_74,1,3,3,6,1,5,4,2,2,3,3,2,2,2,3,4,4,2,1550,3,Vacation,165.67,40.87,8.3,NoStatus
ID_75,5,4,2,4,3,6,4,5,5,6,6,3,3,4,2,4,3,5,382,3,Business,172.33,5,1.65,NoStatus
ID_76,5,5,4,3,4,3,5,3,3,3,3,4,5,3,3,3,2,3,91,2,OtherOrMixed,174,58.18,7.45,Gold
ID_77,5,4,5,3,4,4,3,2,4,3,4,3,3,3,3,4,6,5,320,3,SportsEvent,149,10,10.3,NoStatus
ID_78,3,3,5,3,4,4,4,4,4,4,4,5,4,3,3,3,2,3,533,2,Conference,149,5,3.98,NoStatus
ID_79,4,4,5,4,3,4,4,6,5,3,6,4,3,5,4,4,2,4,923,2,Concert,149,10,9.98,Gold
ID_80,4,4,6,4,3,4,5,3,5,5,5,4,5,4,4,6,2,3,3361,3,SportsEvent,159,0,10.97,Silver
ID_81,3,4,3,2,3,4,3,3,4,2,4,3,5,2,3,4,5,2,425,6,Concert,155.67,11.09,7.13,Silver
ID_82,3,5,5,3,7,4,5,6,5,7,5,6,3,6,5,6,4,6,100,4,Business,141.5,40.42,6.96,Gold
ID_83,2,4,5,2,4,2,3,4,4,5,7,3,3,4,4,5,5,4,152,4,SportsEvent,174,15.92,10.71,Gold
ID_84,4,4,5,4,5,5,5,6,5,5,5,4,5,5,3,3,2,5,358,2,Business,149,33.24,9.95,Silver
ID_85,6,5,4,3,4,5,5,5,4,5,4,6,3,4,2,5,3,3,909,1,Conference,129,5,12.95,Gold
ID_86,2,3,2,5,2,4,4,4,4,3,3,3,5,2,2,4,4,4,501,10,Conference,156,1.43,9.38,Silver
ID_87,5,3,5,5,2,3,4,4,4,3,3,4,4,4,4,5,5,3,357,1,Business,199,5,0,Gold
ID_88,4,5,3,5,4,4,5,3,4,2,4,4,4,4,3,3,3,2,393,6,Conference,152.33,14.41,9.14,NoStatus
ID_89,4,4,2,3,3,4,5,4,4,4,5,4,3,3,2,3,2,2,609,1,Vacation,159,10,0,Silver
ID_90,3,3,4,4,3,5,4,3,3,3,4,4,4,2,3,4,1,3,714,3,SportsEvent,162.33,12.38,7.62,NoStatus
ID_91,5,4,3,6,3,3,4,4,2,4,2,4,4,2,4,5,4,4,340,2,Vacation,159,15.86,8.98,Silver
ID_92,5,5,5,3,4,4,5,4,4,3,3,3,4,4,3,4,3,3,101,1,Vacation,189,10,0,Gold
ID_93,5,4,5,2,3,4,4,5,5,3,3,4,5,4,3,4,4,4,597,6,OtherOrMixed,140.67,28.75,7.13,NoStatus
ID_94,2,4,4,3,6,6,5,5,5,5,5,3,3,5,5,3,5,5,1109,1,SportsEvent,149,10,0,NoStatus
ID_95,5,5,5,5,3,4,5,6,3,5,6,3,4,5,4,4,5,5,1786,2,Business,164,5,7.48,Silver
ID_96,6,6,4,4,7,5,6,5,5,7,5,5,4,5,4,6,2,5,686,3,Conference,159,15,2.65,Silver
ID_97,4,2,3,3,2,3,5,3,5,5,4,5,3,6,4,5,5,5,431,2,SportsEvent,149,0,7.95,NoStatus
ID_98,5,5,3,5,3,5,4,5,4,4,5,4,4,3,4,3,3,5,1109,2,Business,144,36.79,5,Gold
ID_99,5,5,5,3,4,6,3,6,5,3,4,7,6,5,3,5,4,5,291,2,Business,139,48.23,3.98,Platinum
ID_100,3,5,4,4,5,4,5,5,3,3,6,5,4,4,3,5,3,3,77,4,Vacation,159,16.91,9.48,Silver
ID_101,5,5,3,2,3,2,4,5,4,2,4,3,3,4,4,5,4,5,599,5,Business,151,34.81,7.56,Silver
ID_102,5,5,3,5,5,5,5,6,5,5,4,5,5,4,3,5,4,5,373,5,Business,155,48.87,5.76,Gold
ID_103,5,5,4,4,4,4,6,5,4,5,4,3,3,4,3,4,3,5,141,1,Concert,129,10,7.95,Silver
ID_104,3,5,3,2,4,5,6,4,5,4,6,3,3,3,5,4,2,5,200,7,Vacation,149,9.38,4.69,NoStatus
ID_105,1,4,5,5,4,4,5,3,4,4,2,4,2,4,5,5,3,5,870,1,OtherOrMixed,139,105.95,0,Silver
ID_106,3,5,3,3,3,3,5,3,2,5,2,2,3,2,2,3,3,4,558,2,SportsEvent,169,50.86,9.95,NoStatus
ID_107,7,5,5,7,5,6,7,7,4,5,6,6,7,6,6,6,4,5,187,2,Business,149,10,9.98,Platinum
ID_108,3,5,4,5,5,5,5,5,4,6,6,5,3,5,5,5,3,6,1298,2,Business,159,32.18,9.98,Gold
ID_109,6,5,4,2,4,6,3,6,4,4,6,6,5,6,4,4,5,5,1168,3,Business,159,35.97,1.65,Gold
ID_110,4,4,5,5,3,4,4,4,2,3,4,5,3,3,2,4,3,5,961,2,Vacation,149,5,3.98,Platinum
ID_111,5,5,4,5,3,5,5,6,5,4,5,4,4,4,3,5,6,4,262,2,Vacation,164,55.42,9.98,Silver
ID_112,4,4,5,3,2,3,3,5,4,3,5,5,4,4,4,5,7,3,743,4,Vacation,176.5,13.69,5.71,Silver
ID_113,3,4,4,5,3,3,4,3,4,5,5,2,4,4,4,5,4,2,233,2,SportsEvent,134,5,7.95,NoStatus
ID_114,2,4,4,4,3,4,3,4,4,5,5,3,4,3,4,2,3,3,138,4,Vacation,159,11.85,9.48,Silver
ID_115,4,3,3,3,4,4,4,3,2,4,2,4,3,3,2,3,2,3,713,5,SportsEvent,153,46.67,8.58,NoStatus
ID_116,3,4,4,2,3,3,3,3,4,4,5,2,2,4,4,3,4,2,1001,1,Conference,169,5,0,NoStatus
ID_117,4,4,3,4,4,2,4,3,4,3,4,2,3,4,3,4,4,4,5012,3,SportsEvent,139,8.31,7.65,Silver
ID_118,4,5,3,2,3,4,3,5,5,3,5,3,5,4,3,4,4,2,3855,1,Conference,189,10,12.95,Silver
ID_119,5,4,4,4,5,5,6,4,6,3,6,4,4,5,3,5,1,4,231,2,Conference,139,10,9.98,Silver
ID_120,3,3,3,4,3,3,3,4,2,3,2,4,4,1,2,4,3,2,960,6,Concert,165.67,31.72,7.48,Silver
ID_121,4,4,4,2,3,2,3,4,3,4,4,3,4,3,4,5,3,3,143,2,Conference,149,5,8.95,NoStatus
ID_122,3,4,3,6,2,5,4,4,4,2,4,4,4,3,4,4,5,6,278,1,SportsEvent,149,5,5,Silver
ID_123,4,4,4,4,5,2,5,3,5,3,5,3,4,4,3,1,4,3,190,6,SportsEvent,147.33,21.66,12.13,NoStatus
ID_124,5,6,4,3,4,5,5,5,4,5,4,5,4,6,5,7,4,6,69,2,OtherOrMixed,164,110.78,8.95,Gold
ID_125,7,4,3,5,5,4,4,4,6,5,4,3,4,4,4,4,4,3,1363,4,SportsEvent,161.5,19.64,13.95,Gold
ID_126,5,4,4,4,5,5,5,3,6,4,6,3,2,4,1,5,3,5,1597,2,OtherOrMixed,139,48.57,4.98,NoStatus
ID_127,6,6,4,3,5,3,4,5,2,4,2,5,4,5,4,6,5,5,1030,2,Business,149,7.61,3.98,Silver
ID_128,3,3,3,5,3,4,5,4,3,2,4,3,3,2,4,4,2,3,817,2,OtherOrMixed,159,6.83,14.95,NoStatus
ID_129,4,3,3,4,3,3,4,5,2,3,3,5,5,3,3,3,3,4,206,3,Business,159,5,5.3,Silver
ID_130,5,4,3,3,5,3,4,4,4,6,4,3,4,4,6,5,4,2,209,5,SportsEvent,139,15,6.59,Silver
ID_131,2,4,3,2,4,2,5,4,4,4,4,3,3,5,4,7,4,3,378,2,SportsEvent,149,21.27,8.95,NoStatus
ID_132,3,3,4,5,5,6,7,5,4,6,4,5,4,4,6,6,3,4,800,5,Business,141,25.64,9.97,Platinum
ID_133,3,4,6,5,5,3,5,2,4,4,4,4,4,4,4,4,3,4,366,7,SportsEvent,163.29,7.12,5.4,NoStatus
ID_134,6,4,4,4,5,5,5,6,5,4,6,4,6,5,6,7,3,6,1210,2,Business,149,12.98,9.98,Gold
ID_135,6,5,3,1,6,5,4,5,6,6,4,5,5,5,4,4,3,5,2819,4,Concert,139,15,4.48,Silver
ID_136,5,4,4,4,4,6,6,6,3,5,3,5,5,5,3,4,2,5,214,6,Business,145.67,35.71,5.13,Platinum
ID_137,4,3,3,4,3,3,5,4,4,2,4,4,5,3,4,5,2,4,136,7,Business,153.29,5,11.11,Gold
ID_138,3,4,4,3,4,4,4,3,4,3,5,3,2,3,4,4,3,4,399,3,SportsEvent,142.33,63.5,5.3,Silver
ID_139,1,4,2,3,4,3,4,3,4,1,5,3,1,4,3,5,3,4,352,4,SportsEvent,154,10.16,4.48,NoStatus
ID_140,4,3,3,4,3,3,3,4,2,3,3,4,4,2,1,4,5,4,150,3,Conference,169,52.75,9.3,Silver
ID_141,5,5,4,4,4,4,5,3,4,4,4,4,3,4,3,3,4,3,269,3,Vacation,145.67,5,5.97,NoStatus
ID_142,3,4,3,5,4,6,3,3,6,4,5,5,5,4,1,4,2,3,80,5,SportsEvent,169,18.18,11.96,Silver
ID_143,5,4,6,4,3,5,4,5,5,5,6,4,4,5,5,4,4,3,411,11,OtherOrMixed,158.09,7.78,10.42,Gold
ID_144,3,3,3,3,4,3,4,4,5,5,4,6,3,4,4,5,4,3,231,8,Concert,155.25,12.68,3.85,Silver
ID_145,4,4,3,4,1,4,3,5,4,4,3,4,5,4,5,4,5,4,462,4,Business,166.5,0,10.71,Gold
ID_146,5,5,4,4,4,5,4,5,5,5,4,6,4,5,3,5,4,5,2160,2,Business,129,10,3.98,Platinum
ID_147,5,3,4,5,3,5,4,6,4,5,5,5,5,3,4,4,5,4,48,3,Concert,152.33,17.23,8.32,Gold
ID_148,4,3,3,4,5,5,5,5,7,4,5,5,4,5,4,3,4,4,100,2,Conference,159,38.79,4.98,Silver
ID_149,5,5,4,2,3,4,4,4,3,6,4,4,4,3,3,4,3,3,868,2,Conference,144,61.93,3.98,NoStatus
ID_150,5,5,5,3,6,4,7,6,5,3,6,7,4,6,5,3,2,5,96,6,Concert,147.33,17.27,4.31,Platinum
ID_151,5,3,5,5,3,5,6,5,4,4,4,6,5,4,4,6,2,4,228,4,Conference,166.5,23.25,10.96,Gold
ID_152,2,3,3,3,5,4,5,5,6,6,6,3,4,4,4,4,3,4,644,2,Concert,164,5,8.98,NoStatus
ID_153,2,3,4,4,4,3,2,2,4,4,3,3,4,2,2,5,4,6,168,4,SportsEvent,161.5,23.18,9.48,NoStatus
ID_154,4,4,6,2,3,4,3,4,3,3,4,3,3,3,4,3,4,4,44,3,OtherOrMixed,149,72.04,12.95,Silver
ID_155,6,4,4,3,2,2,2,2,3,4,5,2,3,3,1,3,4,2,340,3,Vacation,169,56.32,11.63,NoStatus
ID_156,7,5,4,4,4,4,4,5,5,3,5,4,3,4,2,4,6,3,621,2,Concert,159,5,7.95,NoStatus
ID_157,5,4,4,2,4,2,4,2,4,5,5,1,2,3,4,5,4,3,669,2,SportsEvent,144,10,8.98,NoStatus
ID_158,5,4,3,2,2,3,3,5,3,5,3,4,3,3,4,4,5,3,308,2,Vacation,149,23.8,8.98,NoStatus
ID_159,5,4,4,2,3,3,4,2,4,4,4,4,4,4,2,4,4,2,158,21,SportsEvent,149.48,24.54,4.97,Silver
ID_160,4,4,3,5,3,3,5,3,4,5,3,4,4,4,4,6,4,4,235,4,SportsEvent,149,5,4.98,Silver
ID_161,5,4,5,3,3,3,4,4,3,4,5,3,3,3,1,5,4,4,839,2,SportsEvent,139,39.85,0,Silver
ID_162,5,6,3,3,3,2,3,5,5,4,5,5,6,5,5,4,3,4,514,4,Business,159,27.52,5.96,Silver
ID_163,5,5,4,5,5,6,7,5,4,6,4,5,5,6,5,6,4,4,201,4,Concert,129,14.57,8.73,Silver
ID_164,4,4,4,5,6,4,6,4,6,6,5,4,2,3,3,3,2,4,397,7,SportsEvent,151.86,50.66,8.55,NoStatus
ID_165,4,4,2,5,2,3,3,1,3,4,3,2,2,1,2,3,2,1,733,3,SportsEvent,162.33,11.97,9.3,NoStatus
ID_166,4,4,5,3,4,3,5,4,5,4,5,3,2,5,5,6,4,4,182,7,SportsEvent,153.29,5.25,8.26,NoStatus
ID_167,3,5,4,5,3,4,4,3,1,1,1,2,2,2,4,4,3,4,657,5,SportsEvent,161,5.49,11.56,NoStatus
ID_168,5,4,4,3,4,5,6,5,5,5,5,6,5,6,5,6,4,6,478,6,Business,139,37.07,4.64,Silver
ID_169,5,5,4,5,4,5,5,4,4,5,4,4,6,5,4,3,3,5,726,1,Conference,159,5,9.95,Silver
ID_170,4,4,4,4,4,5,4,5,6,6,6,4,3,4,4,4,2,4,254,2,OtherOrMixed,169,5,7.95,Silver
ID_171,2,4,5,3,4,3,4,2,3,3,3,5,5,2,2,3,3,2,741,5,Vacation,151,18.73,7.16,NoStatus
ID_172,3,5,3,4,2,5,4,3,6,6,6,4,4,4,3,4,2,3,967,7,Business,160.43,7.19,2.13,NoStatus
ID_173,3,2,4,3,3,3,4,3,1,2,1,3,2,2,3,3,3,2,184,6,Vacation,144,35.27,9.64,NoStatus
ID_174,2,4,3,5,4,5,7,5,5,7,4,4,4,5,4,5,5,5,189,4,Concert,154,31.75,6.96,Gold
ID_175,2,4,4,4,4,4,6,5,5,3,4,4,6,3,3,4,2,4,768,2,Business,139,43.62,6.45,Gold
ID_176,4,4,3,6,3,7,4,5,2,3,4,4,5,5,4,3,4,4,763,8,OtherOrMixed,159,22.28,10.34,Gold
ID_177,5,5,4,4,5,3,5,5,4,6,5,4,7,5,4,5,4,6,2343,4,Business,144,48.11,13.2,Silver
ID_178,5,5,4,4,2,4,3,5,4,2,6,5,5,4,4,4,4,4,831,6,Business,162.33,10,12.13,Silver
ID_179,4,3,5,1,5,5,4,5,3,4,3,4,4,3,3,5,2,3,398,5,Concert,155,10,3.58,Platinum
ID_180,4,4,3,5,3,4,3,4,5,6,5,5,3,4,3,5,4,5,558,2,SportsEvent,159,5,3.98,NoStatus
ID_181,4,4,4,2,6,3,4,4,4,5,3,4,3,3,3,5,2,4,253,4,Conference,169,40.49,6.96,NoStatus
ID_182,4,4,5,4,4,5,4,5,3,4,3,4,4,4,4,6,3,3,794,1,OtherOrMixed,149,10,0,NoStatus
ID_183,5,5,5,4,5,4,7,4,5,7,4,4,4,5,5,5,2,5,390,3,Vacation,152.33,49.82,2.65,Platinum
ID_184,4,4,2,3,4,4,4,5,6,4,6,5,5,6,6,4,4,4,743,4,Conference,151.5,22.84,5.21,Platinum
ID_185,5,5,4,2,3,1,4,4,4,4,3,5,3,4,4,6,4,5,252,4,SportsEvent,139,85.19,11.96,NoStatus
ID_186,3,3,2,5,4,5,6,5,4,4,5,5,4,4,3,3,3,6,406,4,OtherOrMixed,156.5,51.01,8.98,Gold
ID_187,4,5,4,2,4,4,4,4,4,5,4,4,3,5,4,6,5,5,326,5,OtherOrMixed,139,24.39,4.77,Silver
ID_188,4,5,4,4,3,5,2,2,3,4,3,3,2,4,3,4,5,4,1168,4,OtherOrMixed,154,52.02,9.48,NoStatus
ID_189,6,4,4,5,2,4,5,4,5,4,7,5,5,4,4,6,4,4,1290,5,Business,159,37.7,12.75,NoStatus
ID_190,6,5,5,4,2,5,4,4,4,5,6,5,3,6,5,4,6,5,336,1,Conference,149,73.73,9.95,Silver
ID_191,5,4,2,5,1,4,3,3,4,4,5,3,3,4,4,5,6,4,499,2,Business,189,21.71,9.98,NoStatus
ID_192,4,4,4,4,2,4,4,7,4,2,4,4,5,4,4,3,4,5,211,2,Business,159,10,5,Silver
ID_193,3,3,3,3,3,4,5,5,3,4,4,3,3,3,3,5,4,4,179,6,SportsEvent,142.33,16.31,3.81,NoStatus
ID_194,2,3,1,5,2,5,4,4,3,2,3,5,5,3,1,4,4,4,229,8,Vacation,161.5,19.9,9.48,Silver
ID_195,5,4,4,5,4,4,5,4,4,4,4,5,5,5,3,5,3,4,263,1,SportsEvent,159,10,12.95,Gold
ID_196,3,2,2,4,3,4,5,6,4,3,4,4,5,5,5,5,2,3,2523,4,OtherOrMixed,164,28.34,7.49,Silver
ID_197,4,5,5,4,3,5,5,5,4,5,3,6,5,4,5,5,5,4,204,6,Conference,157.33,39.87,4.64,NoStatus
ID_198,2,3,3,6,3,4,6,4,3,2,4,4,4,3,4,4,2,4,2071,3,Vacation,145.67,19.01,5.97,NoStatus
ID_199,4,5,4,4,4,3,5,5,5,4,5,4,4,5,4,5,2,5,186,4,SportsEvent,159,73.22,8.23,NoStatus
ID_200,5,4,4,5,4,5,4,5,5,6,4,4,4,5,4,6,4,5,815,5,OtherOrMixed,151,53.03,10.17,Platinum
ID_201,3,4,4,4,4,4,4,5,3,4,4,5,5,4,2,6,4,4,51,6,Business,142.33,32.11,1.33,NoStatus
ID_202,5,4,6,3,5,5,4,5,6,5,6,5,5,6,5,4,6,5,1212,1,Business,129,116.8,0,Gold
ID_203,5,5,4,3,6,4,3,5,4,3,5,4,3,4,5,6,4,4,896,1,Concert,139,10,9.95,NoStatus
ID_204,4,4,2,3,5,5,4,4,4,5,4,4,4,4,4,5,5,4,533,5,OtherOrMixed,151,7.18,12.16,Silver
ID_205,2,2,4,2,4,2,4,3,2,5,3,4,3,3,5,4,2,4,160,9,Vacation,160.11,35.48,8.64,NoStatus
ID_206,3,4,2,2,4,4,5,5,5,5,5,4,4,5,4,4,5,5,1461,3,SportsEvent,135.67,10,10.97,Silver
ID_207,5,6,5,5,4,3,5,6,5,4,5,6,5,5,6,6,4,5,291,6,Business,142.33,61.15,7.63,Platinum
ID_208,5,5,3,3,4,3,5,4,4,2,3,5,4,3,3,4,4,4,300,4,Conference,144,28.65,3.73,Silver
ID_209,3,3,4,2,4,4,5,4,4,5,4,4,4,4,2,4,4,4,1762,2,OtherOrMixed,149,43.64,9.98,Silver
